TimeStamp,PreviousTimeStamp,DoorRotation,PreviousDoorRotation,topAngle,XPosition,YPosition,ZPosition,Inside/Outside,AngleOfParticipant,DeltaTheta,Radius,ClosestAngleToDoor,TTC
1.839497,1.811806,335.4825,336.7285,1.24609375,0.1700346,1.384854,1.873868,0,275.1848,60.29764,1.8815661698741,60.29764,7.45520697483285
1.86732,1.839497,334.2304,335.4825,1.25201416015625,0.1658095,1.385653,1.873908,0,275.0565,59.17389,1.88122897809662,59.17389,7.42739540367864
1.895403,1.86732,332.9667,334.2304,1.26373291015625,0.1623775,1.386154,1.873549,0,274.9534,58.01334,1.8805721698472,58.01334,7.3991379717386
1.92316,1.895403,331.7177,332.9667,1.24905395507813,0.1594722,1.38629,1.873293,0,274.8658,56.85184,1.88006904175033,56.85184,7.37161311498851
1.951477,1.92316,330.4434,331.7177,1.2742919921875,0.1569797,1.386512,1.873076,0,274.7907,55.65268,1.87964282250284,55.65268,7.34308546906585
1.980719,1.951477,329.1275,330.4434,1.31585693359375,0.1550669,1.386642,1.872391,0,274.7343,54.39322,1.87880138007403,54.39322,7.31410816152174
2.007414,1.980719,327.9262,329.1275,1.20132446289063,0.1536793,1.386759,1.871602,0,274.6941,53.23209,1.8779008221404,53.23209,7.28708208078171
2.034575,2.007414,326.704,327.9262,1.22219848632813,0.1524243,1.387441,1.870495,0,274.6587,52.04532,1.87669549914592,52.04532,7.26020598200223
2.06233,2.034575,325.455,326.704,1.24896240234375,0.1511397,1.387621,1.869622,0,274.6217,50.83328,1.87572099214721,50.83328,7.23235028035793
2.090319,2.06233,324.1955,325.455,1.259521484375,0.1500949,1.388295,1.86846,0,274.5927,49.60275,1.87447936310087,49.60275,7.20441116964801
2.118572,2.090319,322.9241,324.1955,1.27139282226563,0.1489549,1.387955,1.867111,0,274.5613,48.36279,1.87304320996337,48.36279,7.17606695035809
2.146436,2.118572,321.6702,322.9241,1.25387573242188,0.1478924,1.387206,1.866748,0,274.5298,47.14044,1.87259695021277,47.14044,7.14812396845617
2.17449,2.146436,320.4078,321.6702,1.26242065429688,0.1465967,1.386935,1.86669,0,274.4904,45.91742,1.87243732373043,45.91742,7.1202259189192
2.202135,2.17449,319.1638,320.4078,1.24404907226563,0.1451503,1.386489,1.866354,0,274.4471,44.71671,1.87198945339973,44.71671,7.0924191994622
2.229778,2.202135,317.9198,319.1638,1.24392700195313,0.143713,1.386318,1.866107,0,274.4038,43.51605,1.87163252181437,43.51605,7.06492167893606
